Delta Test,T,Method,Repeat,Estimated_R_delta,True_R_delta,MSE
0.1,3000,LDR2PE-CP,14,0.36671653369931834,0.4053099105768362,0.0014894487388101294
0.1,3000,DRO-IPW,14,0.4239406355386415,0.4053099105768362,0.00034710391260243473
0.1,3000,LDR2PE-CP,15,0.39086721412148023,0.4053099105768362,0.00020859148090155138
0.1,3000,DRO-IPW,15,0.4596080603308744,0.4053099105768362,0.002948289066711963
0.1,3000,LDR2PE-CP,16,0.3491037489304172,0.4053099105768362,0.0031591326070233828
0.1,3000,DRO-IPW,16,0.4095920024172439,0.4053099105768362,1.833631052968647e-05
0.1,3000,LDR2PE-CP,17,0.44489194725142855,0.4053099105768362,0.0015667376273087754
0.1,3000,DRO-IPW,17,0.4969052989778755,0.4053099105768362,0.008389715176337248
0.1,3000,LDR2PE-CP,18,0.39497786529877027,0.4053099105768362,0.00010675115962800418
0.1,3000,DRO-IPW,18,0.4467585493544747,0.4053099105768362,0.0017179896565191572
0.1,3000,LDR2PE-CP,19,0.3992438691644906,0.4053099105768362,3.679685841629142e-05
0.1,3000,DRO-IPW,19,0.4590467256889619,0.4053099105768362,0.00288764529839478
0.1,4000,LDR2PE-CP,0,0.410493011109772,0.4053099105768362,2.68645311345194e-05
0.1,4000,DRO-IPW,0,0.4303268545467078,0.4053099105768362,0.0006258474855916971
0.1,4000,LDR2PE-CP,1,0.3899689577715846,0.4053099105768362,0.00023534483297295715
0.1,4000,DRO-IPW,1,0.4098844547129391,0.4053099105768362,2.0926454053153616e-05
0.1,4000,LDR2PE-CP,2,0.3927502102734334,0.4053099105768362,0.00015774607171129663
0.1,4000,DRO-IPW,2,0.42177902948301105,0.4053099105768362,0.0002712318775457263
0.1,4000,LDR2PE-CP,3,0.40791120607752684,0.4053099105768362,6.766738281913467e-06
0.1,4000,DRO-IPW,3,0.44958627910451704,0.4053099105768362,0.0019603968099990076
0.1,4000,LDR2PE-CP,4,0.3735019139649345,0.4053099105768362,0.00101174864846275
0.1,4000,DRO-IPW,4,0.43673432888964403,0.4053099105768362,0.000987494066298333
0.1,4000,LDR2PE-CP,5,0.37659256294886523,0.4053099105768362,0.0008246860547857292
0.1,4000,DRO-IPW,5,0.443141705196762,0.4053099105768362,0.0014312446841642473
0.1,4000,LDR2PE-CP,6,0.3954683309221151,0.4053099105768362,9.685669010022028e-05
0.1,4000,DRO-IPW,6,0.4651403639434276,0.4053099105768362,0.0035796831500518717
0.1,4000,LDR2PE-CP,7,0.37734971470917045,0.4053099105768362,0.0007817725529582322
0.1,4000,DRO-IPW,7,0.4682208391721542,0.4053099105768362,0.003957784936725199
0.1,4000,LDR2PE-CP,8,0.3898472187710531,0.4053099105768362,0.0002390948378806312
0.1,4000,DRO-IPW,8,0.4328547731711655,0.4053099105768362,0.000758719455340482
0.1,4000,LDR2PE-CP,9,0.4349027009521043,0.4053099105768362,0.0008757332421945621
0.1,4000,DRO-IPW,9,0.4826142950109363,0.4053099105768362,0.005975967852735136
0.1,4000,LDR2PE-CP,10,0.38267371220200386,0.4053099105768362,0.0005123974768647617
0.1,4000,DRO-IPW,10,0.4532111182941979,0.4053099105768362,0.002294525700781835
0.1,4000,LDR2PE-CP,11,0.40508787940494173,0.4053099105768362,4.929784129282482e-08
0.1,4000,DRO-IPW,11,0.46606710430285725,0.4053099105768362,0.0036914365894612534
0.1,4000,LDR2PE-CP,12,0.4161089743377566,0.4053099105768362,0.00011661977811242501
0.1,4000,DRO-IPW,12,0.44673490107663083,0.4053099105768362,0.0017160298379080767
0.1,4000,LDR2PE-CP,13,0.465506813988701,0.4053099105768362,0.0036236671803773785
0.1,4000,DRO-IPW,13,0.5229813114995863,0.4053099105768362,0.013846558595122588
0.1,4000,LDR2PE-CP,14,0.4504822324391753,0.4053099105768362,0.0020405386624347596
0.1,4000,DRO-IPW,14,0.4985615532880612,0.4053099105768362,0.008695868868341962
0.1,4000,LDR2PE-CP,15,0.40744741086501723,0.4053099105768362,4.5689074819740675e-06
0.1,4000,DRO-IPW,15,0.4537887865301625,0.4053099105768362,0.0023502014136980026
0.1,4000,LDR2PE-CP,16,0.41989609408594764,0.4053099105768362,0.00021275674936147482
0.1,4000,DRO-IPW,16,0.4752433068936214,0.4053099105768362,0.004890679920400544
0.1,4000,LDR2PE-CP,17,0.39768801367380335,0.4053099105768362,5.809331240046148e-05
0.1,4000,DRO-IPW,17,0.44664750757526894,0.4053099105768362,0.001708796925604837
0.1,4000,LDR2PE-CP,18,0.38390727361718446,0.4053099105768362,0.0004580728688266499
0.1,4000,DRO-IPW,18,0.43943985910754313,0.4053099105768362,0.001164853386708705
0.1,4000,LDR2PE-CP,19,0.40181801270358136,0.4053099105768362,1.2193350757241559e-05
0.1,4000,DRO-IPW,19,0.4612318160384896,0.4053099105768362,0.003127259510462104
0.1,5000,LDR2PE-CP,0,0.44067363068997784,0.4053099105768362,0.0012505927002406192
0.1,5000,DRO-IPW,0,0.49783389962285557,0.4053099105768362,0.008560688548987914
0.1,5000,LDR2PE-CP,1,0.40108553584653184,0.4053099105768362,1.784534186203393e-05
0.1,5000,DRO-IPW,1,0.4783829993091124,0.4053099105768362,0.00533967629687511
0.1,5000,LDR2PE-CP,2,0.39993493897173726,0.4053099105768362,2.8890319755619677e-05
0.1,5000,DRO-IPW,2,0.47398961954676044,0.4053099105768362,0.004716902424193495
0.1,5000,LDR2PE-CP,3,0.4492230650354466,0.4053099105768362,0.0019283651345057776
0.1,5000,DRO-IPW,3,0.48666903868444866,0.4053099105768362,0.0066193077264308986
0.1,5000,LDR2PE-CP,4,0.39674619201214767,0.4053099105768362,7.333727565519074e-05
0.1,5000,DRO-IPW,4,0.4522057110903929,0.4053099105768362,0.0021992161058073086
0.1,5000,LDR2PE-CP,5,0.41890281608813806,0.4053099105768362,0.00018476708023918098
