Delta Test,T,Method,Repeat,Estimated_R_delta,True_R_delta,MSE
0.2,500,LDR2PE-CP,19,0.3183323412001369,0.23425445571869868,0.007069090827029843
0.2,500,DRO-IPW,19,0.27079630630675067,0.23425445571869868,0.001335306844399515
0.2,1000,LDR2PE-CP,0,0.25223029003399444,0.23425445571869868,0.00032313061933096453
0.2,1000,DRO-IPW,0,0.2302329869935365,0.23425445571869868,1.6172210707457535e-05
0.2,1000,LDR2PE-CP,1,0.25242788344721045,0.23425445571869868,0.0003302734754034405
0.2,1000,DRO-IPW,1,0.2646937006113031,0.23425445571869868,0.0009265476296319437
0.2,1000,LDR2PE-CP,2,0.19572080921022927,0.23425445571869868,0.0014848419132396768
0.2,1000,DRO-IPW,2,0.23829271018038795,0.23425445571869868,1.6307499097353227e-05
0.2,1000,LDR2PE-CP,3,0.29593307081380793,0.23425445571869868,0.003804251560050638
0.2,1000,DRO-IPW,3,0.29697167209746,0.23425445571869868,0.003933449230300367
0.2,1000,LDR2PE-CP,4,0.2828140769551967,0.23425445571869868,0.0023580368146321517
0.2,1000,DRO-IPW,4,0.29085789022846276,0.23425445571869868,0.0032039487983011503
0.2,1000,LDR2PE-CP,5,0.3157931146762214,0.23425445571869868,0.006648552904591199
0.2,1000,DRO-IPW,5,0.34579081151054764,0.23425445571869868,0.012440358663325917
0.2,1000,LDR2PE-CP,6,0.2523272200788546,0.23425445571869868,0.00032662481161772216
0.2,1000,DRO-IPW,6,0.24907064343262952,0.23425445571869868,0.00021951941837443516
0.2,1000,LDR2PE-CP,7,0.17512616407037873,0.23425445571869868,0.003496154873248783
0.2,1000,DRO-IPW,7,0.23723668780835222,0.23425445571869868,8.893708236559295e-06
0.2,1000,LDR2PE-CP,8,0.1665590241195437,0.23425445571869868,0.00458267145939587
0.2,1000,DRO-IPW,8,0.21506111439471876,0.23425445571869868,0.0003683843511787956
0.2,1000,LDR2PE-CP,9,0.31920318546670506,0.23425445571869868,0.007216286685799824
0.2,1000,DRO-IPW,9,0.35028729321780583,0.23425445571869868,0.013463619378094205
